kof97	拳王97	KOF97	KOF 97
cadash	卡达叙传说 	Cadash	카다쉬 	
cairblad	空刃	Change Air Blade	체인지 에어 블레이드 	
calibr50	点五零	Caliber 50	캘리버 50	
candance	麒麟 - 加农舞者	Cannon Dancer 	캐논 댄서 	
osman	麒麟 - OS 战警 	Osman	캐논 댄서	
cannball	佳能球气泡 (直立型)	Cannon Ball (horizontal)	캐논볼 (가로화면)	
cannballv	佳能球气泡  (垂直型)	Cannon Ball (vertical)	캐논볼 (세로화면)	
cavenger	宇宙复仇者	Cosmic Avenger	코즈믹 어벤저	
cbuster	暴力克星	Crude Buster 	크루드 버스터 	
cclimbr2	疯狂爬梯者 2 	Crazy Climber 2 	크레이지 클라이머 2 	
cclimbr2a	疯狂爬梯者 2 (难度加强版)	Crazy Climber 2 (Harder)	크레이지 클라이머 2 (고난이도)	
chainrec	魔法方块'95	Chain Reaction'95	매지컬 드롭'95	
magdrop	魔法方块 	Magical Drop	매지컬 드롭 	
magdropp	魔法方块 Plus 	Magical Drop Plus	매지컬 드롭 Plus	
pnickj	魔法方块'94 	Pnickies'94	프닉키즈'94	
chameleo	变色龙	Chameleon	카멜레온	
charlien	糊涂忍者	Charlie Ninja	찰리 닌자	
checkman	检查人	Check Man	체크맨	
cheekyms	打老鼠	Cheeky Mouse	치키 마우스	
chimerab	原生兽 	Chimera Beast 	키메라 비스트 	
chinatwn	唐人街	China Town 	차이나 타운	
chokchok	魔鬼气泡海中对战	Choky! Choky!	초키! 초키!	
chukatai	中华大仙 	Chuka Taisen 	중화대선 	
champwr	冠军摔跤	Champion Wrestler	챔피언 레슬러	
circusc	马戏团 - 小丑查理 I	Circus Charlie I	서커스 찰리 I	
circusc2	马戏团 - 小丑查理 II	Circus Charlie II	서커스 찰리 II	
citybomb	炸弹赛车 	City Bomber 	시티 봄버 	
citycon	碰碰车 I	City Connection I	시티 커넥션 I	
citycona	碰碰车 II	City Connection II	시티 커넥션 II	
motos	莫托斯	Motos	모토스	
cobracom	眼睛蛇指令	Cobra-Command 	코브라 커맨드 	
hexa	魔法宝石 II	Hexa II	Hexa II	
combh	战斗神鹰	Combat Hawk	컴뱃 호크	
commando	战场之狼 I	Commando II	코만도 I	
commandou	战场之狼 II	Commando II	코만도 II	
commsega	桂河大桥 	Commando 	코만도 	
condor	秃鹰 	Condor 	콘도르 	
congo	刚果阿古	Congo Bongo	콩고 봉고	
contra	魂斗罗 	Contra 	혼두라 (魂斗羅) 	
scontra	超级魂斗罗	Super Contra	슈퍼 혼두라 (魂斗羅)	
cookbib	曲吉鼠解谜	Cookie & Bibi	쿠키 & 비비	
cookbib2	曲吉鼠解谜 2	Cookie & Bibi 2	쿠키 & 비비 2	
cookbib3	曲吉鼠解谜 3	Cookie & Bibi 3	쿠키 & 비비 3	
gallop	雷驰 - 武装警察 	Gallop - Armed Police Unit  	갤럽 - 암드 폴리스 유니트  	
cosmogng	外星人趣味射击 	Cosmo Gang the Video 	코스모 갱 더 비디오 	
cotton	棉花小魔女	Cotton	코튼	
crimec	罪恶都市	Crime City 	크라임 시티	
vendetta2pd	罪恶战士 2 (2 Players )	Vendetta (2 Players)	Vendetta (2 Players)	
vendetta	罪恶战士 2 (4 Players)	Vendetta (4 Players)	벤데타 (4인용)	
crush	顽皮鬼 	Crush Roller 	크러쉬 롤러 	
crusherm	破碎机	Crusher Makochan	크러셔 마코짱	
hcastle	恶魔城堡	Haunted Castle	악마성 드라큘라	
cuebrick	砖块拼图大考验 	Cue Brick 	큐 브릭 	
dadandrn	究极战队 I	Kyukyoku Sentai Dadandarn I	구극 전대 다단단 I	
mmaulers	究极战队 II	Monster Maulers II	구극 전대 다단단 II	
daisenpu	大旋风	Daisenpu 	대선풍 	
dangseed	魔种 	Dangerous Seed	데인져러스 시드	
darkmist	失落的城堡	The Lost Castle In Darkmist	다크 미스트	
darkseal	暗黑封印 - 毁灭之门 	Dark Seal 	다크 씰 	
darktowr	黑暗之塔	Dark Tower	다크 타워	
darwin	黑暗之风 	Darwin 4078 	다윈 4078	
dblewing	双翼	Double Wings	쌍날개 - 더블 윙즈 (한국판)	
dblpoint	夜上海 I	Double Point I	더블 포인트 I	
dblpointd	夜上海 II	Double Point II	더블 포인트 II	
dbreed	龙族少年	Dragon Breed 	드래곤 브리드	
dcon	地球防卫军	D-Con	D-콘	
ddonpach	怒首领蜂 I	DoDonPachi II 	도돈파치 I	
ddonpachj	怒首领蜂 II	DoDonPachi II 	도돈파치 II	
ddragon	双截龙	Double Dragon	더블드래곤	
ddragon2	双截龙II	Double Dragon II	더블드래곤 2	
ddragon3	双截龙III	Double Dragon III	더블드래곤 3	
ddux1	怪鸭冒险记 I	Dynamite Dux I	다이너마이트 덕스 I	
ddux	怪鸭冒险记 II	Dynamite Dux II	다이너마이트 덕스 II	
deadconx	死亡边缘 	Dead Connection 	데드 커넥션 	
demonwld	步步惊魂 I	Demon's World I 	데몬스 월드 I	
devilw	魔兽王国	Devil World 	데빌 월드	
devstors	饿流祸 	Devastators 	약탈자 	
dfeveron	弹铳 I	Dangun Feveron 	탄총 피버론 	
